2026-03-04 18:08:01,189 | INFO     | ✅ Successfully connected to IB (took 1 attempt(s))
2026-03-04 18:08:01,190 | INFO     | ✅ Connected to IB
2026-03-04 18:08:01,437 | INFO     | ============================================================
2026-03-04 18:08:01,437 | INFO     | ACCOUNT STATUS
2026-03-04 18:08:01,437 | INFO     | ============================================================
2026-03-04 18:08:01,437 | INFO     | Net Liquidation:    $   94,690.14
2026-03-04 18:08:01,438 | INFO     | Cash Available:     $   94,457.23
2026-03-04 18:08:01,438 | INFO     | Buying Power:       $  631,267.61
2026-03-04 18:08:01,438 | INFO     | Excess Liquidity:   $   94,690.14
2026-03-04 18:08:01,438 | INFO     | Maintenance Margin: $        0.00
2026-03-04 18:08:01,438 | INFO     | Currency:                     BASE
2026-03-04 18:08:01,438 | INFO     | ============================================================
2026-03-04 18:08:01,442 | INFO     | ================================================================================
2026-03-04 18:08:01,443 | INFO     | POSITION SIZING INFO
2026-03-04 18:08:01,443 | INFO     | ================================================================================
2026-03-04 18:08:01,443 | INFO     | Account Balance:            $94,690.14
2026-03-04 18:08:01,443 | INFO     | Available Cash:             $94,457.23
2026-03-04 18:08:01,443 | INFO     | Position Size per Trade:    $9,469.01 (10.0%)
2026-03-04 18:08:01,443 | INFO     | Max Open Trades:            10
2026-03-04 18:08:01,443 | INFO     | Current Open Positions:     0/10
2026-03-04 18:08:01,443 | INFO     | Calculation Method:         Auto-calculated from position_size_pct (10.00%)
2026-03-04 18:08:01,443 | INFO     | ================================================================================
2026-03-04 18:08:01,444 | INFO     | Daily Loss Protection: 0/30 stop-losses today
2026-03-04 18:08:01,448 | INFO     | Position Status: 0 bot positions, 0 total IB positions
2026-03-04 18:08:05,489 | INFO     | ================================================================================
2026-03-04 18:08:05,490 | INFO     | Multi-Logger initialized: utils.input_validator
2026-03-04 18:08:05,490 | INFO     | Debug Mode: False
2026-03-04 18:08:05,490 | INFO     | Logs Directory: /Users/nielsbergmann/Programmieren/V6/V2/logs
2026-03-04 18:08:05,490 | INFO     | ================================================================================
2026-03-04 18:08:39,729 | INFO     | Scanning block 2: AD → AGIO (n=50)
2026-03-04 18:09:22,604 | INFO     | Scanning block 3: AGM → ALK (n=50)
2026-03-04 18:09:35,396 | WARNING  | AHH: error during evaluation: 'NoneType' object has no attribute 'empty'
